Python;Java;C++;JavaScript;C#;PHP;Ruby;Swift;Go;Rust;Others;Software_Development_Experience;Database_Management;Networking_Skills;Web_Development_Experience;Communication_Skills;Problem_Solving_Abilities;Teamwork_Collaboration;Time_Management;Adaptability;Leadership_Experience;Career_Goals
9;4;9;7;8;1;5;8;6;4;7;2;3;7;5;7;5;5;9;1;No;Data Scientist
7;7;4;8;8;9;5;2;8;0;3;8;9;2;1;3;4;5;6;7;Yes;Quality Assurance Engineer
1;1;5;8;5;8;0;9;5;9;3;5;0;3;6;0;9;2;3;1;No;Computer and Information Research Scientist
3;7;5;7;8;7;4;0;3;2;0;4;4;5;7;1;7;9;4;1;No;Research Scientist
6;9;2;8;4;4;6;3;9;0;3;6;2;9;7;2;6;1;3;3;Yes;Front End Developer
7;4;5;8;3;0;6;3;0;1;2;9;3;5;8;8;1;3;6;9;No;Computer and Information Research Scientist
6;9;8;2;7;1;1;1;8;1;3;9;8;9;0;1;9;1;0;7;No;IT Sales Professional
2;1;5;4;1;7;9;7;5;0;6;0;6;6;5;0;5;4;6;5;No;Computer Systems Manager
9;5;5;4;8;4;1;8;2;3;0;0;5;5;9;1;0;5;8;1;No;Data Scientist
6;3;6;0;8;6;3;4;1;4;5;6;4;5;8;0;7;6;3;1;Yes;Machine Learning Engineer
8;2;1;3;1;4;4;8;1;5;4;0;4;8;8;2;6;3;3;4;No;Computer Systems Manager
2;3;8;6;9;1;1;8;7;0;3;3;0;5;1;1;7;0;4;6;Yes;Technical Writer
6;8;1;5;6;1;0;9;8;2;0;3;4;2;1;1;4;8;8;4;Yes;DevOps Engineer
1;3;7;0;4;9;6;0;8;7;7;1;2;8;2;4;1;4;3;2;Yes;Embedded Systems Engineer
7;4;6;5;9;5;6;9;7;6;7;4;6;2;1;3;3;4;9;0;No;Computer Programmer
8;2;3;1;8;3;9;0;6;1;8;6;0;3;6;1;2;5;0;4;No;Business Intelligence Analyst
3;6;2;7;9;7;0;6;1;9;8;6;1;3;6;3;8;0;4;5;No;Computer Science Teacher
2;9;0;3;0;8;1;5;8;8;6;2;1;8;3;8;8;8;8;1;Yes;DevOps Engineer
2;4;4;6;4;3;1;7;1;6;0;8;0;2;1;0;9;5;2;9;No;IT Project Manager
5;4;1;0;1;7;2;1;0;4;7;1;6;9;2;7;7;4;1;0;Yes;Computer Systems Manager
0;0;2;5;6;8;1;9;8;4;8;6;5;6;0;5;7;7;1;6;No;Mobile App Developer
7;2;6;1;6;6;2;6;7;0;3;0;7;6;0;1;0;1;7;6;No;Systems Analyst
5;5;5;6;9;2;7;0;9;7;0;2;6;9;2;8;8;9;0;4;No;Network Administrator
9;0;6;3;4;8;5;9;9;6;8;1;2;8;1;4;1;5;4;2;Yes;Systems Analyst
1;1;9;3;8;7;0;0;6;2;4;9;3;0;4;5;0;6;0;7;Yes;Computer Systems Analyst
0;9;2;0;9;3;6;6;6;7;4;4;7;5;6;4;5;9;2;9;Yes;Technical Support Engineer
7;9;4;1;5;3;3;9;6;3;1;9;7;2;6;6;4;9;3;0;No;Computer Network Architect
6;9;7;9;6;7;0;8;3;1;5;7;3;9;0;6;6;3;6;4;No;Technical Writer
9;6;3;3;9;0;2;6;5;8;7;8;5;2;4;1;6;1;5;4;Yes;Computer Science Teacher
0;1;8;8;1;9;8;2;6;6;2;5;7;3;9;0;5;0;0;5;No;Software Engineer
7;8;5;9;6;5;7;4;0;6;1;8;5;1;6;1;8;3;0;1;Yes;Cybersecurity Analyst
7;9;1;5;0;2;6;2;3;5;2;9;2;0;5;3;1;7;0;4;Yes;Blockchain Developer
4;1;3;8;9;3;6;3;4;7;6;6;2;2;6;5;5;3;7;9;No;Back End Developer
7;6;3;9;3;1;8;3;4;8;2;4;4;0;9;8;3;9;8;0;No;Computer Systems Analyst
1;7;7;0;8;5;8;8;0;3;3;3;9;1;4;0;4;0;7;5;Yes;Research Scientist
8;2;7;7;9;3;6;6;2;6;0;7;8;8;6;3;9;3;7;3;No;Computer Network Architect
7;4;8;3;6;4;0;6;8;8;1;2;8;6;2;8;9;4;7;4;Yes;Software Developer
3;6;5;5;2;7;1;5;3;5;1;4;5;1;5;8;4;3;0;8;No;Cybersecurity Analyst
6;5;6;1;6;3;6;3;0;1;5;1;7;9;2;6;1;9;5;6;No;Technical Writer
2;9;1;0;1;4;5;9;5;6;4;7;5;4;2;5;1;7;6;6;Yes;Embedded Systems Engineer
8;3;9;7;7;4;9;5;4;6;6;5;1;1;6;2;9;7;6;1;Yes;Computer and Information Systems Manager
4;1;5;3;3;2;7;3;1;1;9;2;9;1;6;6;1;7;7;5;Yes;Software Tester
9;4;6;9;0;3;3;7;9;2;8;6;3;3;3;5;8;3;5;6;No;Computer Network Architect
6;5;6;0;2;4;5;9;9;4;1;9;3;6;2;6;8;2;8;8;Yes;Computer Programmer
8;0;1;8;0;7;7;2;9;9;3;7;8;0;0;3;5;6;4;9;Yes;Computer Systems Analyst
0;3;6;2;2;9;4;7;2;7;6;3;5;8;0;1;5;6;2;0;Yes;Front End Developer
0;1;3;7;5;2;0;1;8;4;1;7;9;6;2;6;9;2;6;1;Yes;Mobile App Developer
1;9;1;6;8;4;6;1;9;8;6;2;1;5;0;8;6;1;7;8;Yes;Game Developer
6;6;2;3;1;4;7;3;9;9;4;3;3;2;0;8;2;1;8;1;No;Computer Hardware Engineer
5;9;3;1;1;4;6;3;0;8;6;0;3;9;2;1;5;3;2;5;Yes;Cloud Architect
3;4;0;8;5;2;5;2;9;2;1;6;8;5;1;8;6;7;3;2;Yes;Data Scientist
3;2;9;5;5;3;2;5;4;3;6;4;2;2;9;0;0;8;3;2;Yes;IT Support Specialist
6;3;5;0;2;1;6;6;9;7;5;4;5;9;4;1;3;6;4;9;No;Software Engineer
8;6;3;9;6;4;5;3;9;3;9;9;4;8;8;3;3;8;4;6;Yes;Cloud Architect
7;9;8;1;3;8;7;4;5;5;6;4;3;8;7;4;5;1;2;9;No;Computer Hardware Engineer
9;0;0;5;5;1;2;5;9;6;4;1;3;2;1;3;0;3;8;0;Yes;Technical Writer
7;4;5;6;7;9;8;5;8;4;4;7;6;0;9;9;4;0;6;7;No;Full Stack Developer
7;8;2;5;9;8;4;7;0;2;7;0;2;7;0;8;0;7;1;8;Yes;Database Administrator
0;2;5;6;8;0;9;5;3;2;6;5;5;5;9;8;8;5;3;6;Yes;Technical Writer
5;3;2;3;2;8;5;6;1;9;7;1;6;9;0;6;1;3;9;0;No;Mobile App Developer
7;6;5;5;1;4;9;1;5;9;0;0;9;0;6;9;8;3;7;7;Yes;Computer Programmer
6;0;7;4;7;9;4;1;9;8;9;4;9;1;3;5;5;0;8;5;Yes;Artificial Intelligence Engineer
0;8;5;3;3;9;2;8;4;5;9;9;0;6;8;2;0;6;2;6;No;Cloud Architect
7;3;5;4;8;8;8;0;2;9;8;3;3;9;6;8;9;4;5;7;Yes;IT Consultant
3;6;3;0;1;2;4;4;9;9;0;9;8;8;9;0;5;9;1;7;Yes;Mobile App Developer
9;2;5;8;9;9;5;7;1;9;7;0;7;7;8;5;7;4;5;5;No;Software Engineer
7;3;5;1;4;3;3;6;2;7;2;9;4;5;1;1;1;4;2;2;No;IT Support Specialist
1;4;0;4;3;7;3;2;5;8;2;7;0;6;6;6;5;9;8;2;No;Research Scientist
7;8;6;3;1;0;8;5;1;1;1;3;0;1;2;8;1;7;4;1;No;IT Support Specialist
1;1;5;8;0;9;8;6;4;9;3;3;8;7;5;5;7;2;2;0;No;Artificial Intelligence Engineer
2;7;8;1;7;1;6;1;6;5;7;8;9;1;0;2;3;8;8;3;Yes;Computer and Information Systems Manager
6;7;0;2;6;8;5;4;6;4;7;4;4;3;2;3;9;0;0;7;No;IT Project Manager
1;3;0;2;8;1;8;9;2;6;3;3;1;5;2;8;0;0;1;5;Yes;IT Project Manager
2;9;6;1;1;4;7;1;8;4;5;4;8;8;9;1;5;4;6;3;No;Research Scientist
7;9;4;0;1;3;3;6;3;8;9;5;6;5;4;6;8;7;6;9;No;Machine Learning Engineer
7;7;2;2;5;4;3;3;2;6;3;0;9;7;9;0;4;4;2;4;Yes;Software Developer
2;3;4;1;6;6;3;3;8;2;7;3;8;6;7;0;4;2;9;0;No;Computer Network Architect
8;5;8;2;5;7;3;1;2;7;4;8;7;4;3;8;1;2;7;1;Yes;Software Developer
5;9;9;8;9;8;4;1;7;9;2;4;8;4;0;7;0;7;5;6;No;IT Consultant
0;3;1;0;2;2;8;6;1;8;7;6;7;3;3;7;9;5;2;1;Yes;Computer Hardware Engineer
1;4;4;4;3;5;1;1;9;1;6;1;4;2;2;9;9;7;4;6;Yes;Artificial Intelligence Engineer
4;6;6;6;1;1;0;2;0;9;3;4;5;5;6;3;6;3;5;1;Yes;Game Developer
2;8;1;8;8;9;0;1;2;7;7;2;7;2;0;4;3;6;2;5;No;IT Project Manager
